Item,Link,Category,Required?,Notes
Swaddle blankets,,Clothing,Yes,Hospital doesn't recommend swaddling after you leave. Some babies like it though. Don't get too many. We really liked the ones that came with the nanit (easy to use)
Sleep sacks,https://www.amazon.ca/dp/B08KVYQHXQ/?coliid=IF0LNBHHCYH4I&colid=1ESZ9VSCH97Q3&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,Clothing,Yes,Ideally have 2 on rotation since it can get dirty at night if there are accidents. 1.0 tog is good enough. Or better yet - Woolino is awesome because you dont have to worry about temperature control 
Breast pump,https://snugglebugz.ca/products/medela-freestyle-hands-free-breast-pump,Feeding,Yes,"$300 covered by insurance, needed prescription from OB. Used medelo freestyle and really liked it."
High Chair,,Feeding,Yes,"We did bugaboo giraffe and really like it - easy to clean and easy to adjust footrest. Don't get stokke, food gets stuck in it, hard to adjust (need allen key) "
Baby bottles,,Feeding,Yes,West coast kids bottle sampler or just buy doctor browns with flow 1 for nipple. Have a couple bottles at the beginning 
Bottle cleaning brush,,Feeding,Yes,Should be separate from the one you use to clean dishes. Also need a separate bowl for baby things in the sink.
Bottle sterilizer ,,Feeding,Yes,Necessary. I have Dr browns. Wait for it to go on sale. Better yet: splurge for a bottle washer and sterilizer (I might do this for baby #2 becuse at one point i was washing 6 bottles a day and it sucked) 
Nursing pillow,,Feeding,Nice to have,
Bottle Warmer,,Feeding,Yes,Probably a nice to have but we used this a lot. Cold bottles are hard if your baby is used to breastfeeding. But over time make the bottle less hot so your baby gets used to room temp / cold bottles. makes it so much easier (especially on the go / while travelling) 
Drying rack,,Feeding,Nice to have,"Don't get the grass one, it gets really icky as water pools in the bottom and is harder to clean, get one that allows you to stand / stack up. I would put it in the dishwasher periodically "
Breast milk storage,https://www.westcoastkids.ca/breast-milk-storage-solution,Feeding,Nice to have,"This medela kit has been suuuper handy. Comes with different size storage containers, ability to label bottles for tracking , and plastic bags for freezing. "
Formula Pro,https://snugglebugz.ca/products/baby-brezza-formula-pro-advanced-wi-fi,Feeding,Nice to have,Don't buy this unless you know you're going to be using formula. We have it now and loveeee it but it wasn't needed for 6 months 
Formula ,,Feeding,Yes,Have on hand before baby arrives in case of feeding issues. We use kendamil from Costco. European formulas are supposed to be cleaner? Every baby is different and will respond differently to each one. We know a number of peopel that have used Kendamil successfully though. Also at Walmart.
Diaper bag,Mina Baie,For Parents,Yes,Love this bag. Nylon > leather because otherwise the leather is too heavy with all the stuck you pack into it
Backseat mirror / camera,,For Parents,Nice to have,Get one with a soft edge... tbd if mirror is better than camera but starting with mirror. Some people said sun burned a hole in their cars fabric?? Have never experienced anything close to this
Stroller,https://www.bbbuggy.ca/products/bugaboo-donkey5-mono-complete-stroller?_pos=1&_sid=6c2d1bcda&_ss=r,Gear,Yes,Personal preference: Bugaboo donkey and bugaboo butterfly. I love having both for different purposes. Could go on about this. Ask if you're curious! 
Infant car seat / convertible car seat,,Gear,Yes,"Clek Ling, highest safety rating and made in Canada"
Baby carrier,,Gear,Yes,Get one that clips on/off... the scarf things take too long to put on in my opinion and i find the strap/clippy ones are easier for dads too. 
Baby bouncer,https://www.westcoastkids.ca/bouncer-bliss-3d-jersey,Gear,Nice to have,Baby bjorn stores up nice and small too which we love. Also have one that vibrates that was a hand-me down though that she really likes. 
Baby play gym / Activity mat,,Gear,Yes,In retrospect would by the fisher price one where they lay down and have the feet kicking the piano (would get this for baby number 2)
Baby lounger,,Gear,Nice to have,"Snuggle Me - wasn't going to buy this but everyone said I needed it. My daughter hated it. An expensive pillow that just sits in a bag.... if you know someone who has it, try it before investing. Also apparently they are discontinuing for safety reasons in the US now... would pass. "
Floor mat (for playing),,Gear,Yes,I got the ones that come in puzzle pieces which was nice as when she was little I could move sections around to different parts of the house (eg. brought one downstairs to my workout mat when she would just lay there) 
Play Pen,https://www.bbbuggy.ca/products/uppababy-remi-playard?_pos=1&_sid=c81eea9a0&_ss=r&variant=40784186736686,Gear,Yes,"Uppa baby remi - LOVE this. It has a change table, and bassinet setting. perfect for the main floor (and compact), and perfect for travelling to cottage/ottawa. Can grow into it as a playpen in future. We used it as a playpen and crib while travelling. This thing has paid for itself so many times over. Would 1000% recommend this as a necessary item. "
Portable sound machine,https://redirect.viglink.com/?format=go&jsonp=vglnk_171427428235011&key=b1ea3950e6f8c7c04e5ec6ec113c4f92&libId=lviyg6ha01000ftd000ULfa8k1qru&loc=https%3A%2F%2Fwww.babylist.com%2Flist%2Fbaby-rusheleau&v=1&out=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB0C5S8VB2K%3Fpsc%3D1%26tag%3Dbaby0579-20%26th%3D1&ref=https%3A%2F%2Fwww.babylist.com%2Ffind&title=Morgan%20McCunn%E2%80%99s%20Baby%20Registry%20at%20Babylist&txt=Amazon.ca%2449.99,Gear,Nice to have,Hatch on the go. Portable sound machine is necessary. Life saver. Very long battery life. 
Car seat cozy?,,Gear,Nice to have,Necessary for winter. Love the one we have from 7am Enfant
Car seat protector?,,Gear,Nice to have,I dont think you need this
Stroller Muffs,,Gear,Nice to have,Personal pref... i like having gloves better for dog walking alongside stroller so i never got this and don't think I will.
Carseat adapter for stroller,,Gear,Yes,
Stroller fan ,,Gear,Nice to have,Momcozy. Can use at hopsital during birth too. Used this a lot in the summer both on stroller and in car (air doesnt circulate as well in the car when the car seat cover is fully retracted during naps so this helped keep her cool)
Baby toothbrush,,Hygiene,Yes,FridaBaby
Baby bathtub,https://snugglebugz.ca/products/angelcare-baby-bath-support?variant=45412552245527&gad_source=1&gclid=CjwKCAjwodC2BhAHEiwAE67hJGRYo7p6sbtLCpOruflFuXy69plE5mmbP8zRMFduRtKNaeuJWbOWIxoCnMAQAvD_BwE,Hygiene,Nice to have,"Cheese grater one is great until they can sit up, then recommend switching to effectively a small bathrub within the bathtub"
Hooded baby towels,https://www.amazon.ca/dp/B0BTMWB3VL/?coliid=I2DNGW8417TFA4&colid=1ESZ9VSCH97Q3&ref_=list_c_wl_lv_vv_lig_dp_it&th=1,Hygiene,Yes,
Baby hairbrush / dry skin brush,,Hygiene,Nice to have,Frida baby
Baby nail dremmel / clippers,https://www.amazon.ca/dp/B077QBJNVM?ref=ppx_yo2ov_dt_b_fed_asin_title,Hygiene,Nice to have,Frida nail file didn't work. Use the dremmel from Amazon instead it's great. AFter 6 months switched to frida baby nail clippers which is much easier (was starting to take too long with the dremmel) 
Bath thermometer,https://www.amazon.ca/dp/B08W6X2HVF?ref=ppx_yo2ov_dt_b_fed_asin_title,Hygiene,Nice to have,Preferred the one with the actual temp on it. The ducky isn't obvious when it's too hot
Wipe Warmer,,Hygiene,Nice to have,Not really necessary... but i like the munchkin one that i bought. the wipes get cold quickly if you dont use it as soon as you take it out though. i like that it has a nightlight on it though 
Medicated penaton,,Hygiene,Yes,Get this day 1 in prep for potential diaper rash. Recommended by my pediatrician after a realllyyyy bad rash a few days in. Works wonders. We use it daily still.
Wet Bag,https://www.westcoastkids.ca/wet-bag-2-pk,Hygiene,Nice to have,or just use dog poo bags / plastic bags.. 
Receiving blankets,,Hygiene,Nice to have,Didn't use this at the hospital though I thought I would. 
